MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_27,1638.4931059999999,978.31388000000004,1497.1600000000001,0.25653999999999999,0.25869999999999999,H,9,4,11,sra,13.02054117,5.5778530000000002
mof_unit_pretest_28,1298.3434609999999,709.26026300000001,1740.3299999999999,0.26967999999999998,0.29730000000000001,F,3,4,16,pcu,16.26037363,5.4680200000000001
mof_unit_pretest_29,2002.4510740000001,868.39341999999988,2712.7600000000002,0.38669999999999999,0.53700000000000003,NH2-HCO,3,14,27,pcu,11.750623969999999,4.9679739999999999
mof_unit_pretest_30,1534.629101,951.66213000000005,1482.6600000000001,0.22556999999999999,0.21909999999999999,I-OEt,2,4,18,pcu,17.95802711,6.0720340000000004
mof_unit_pretest_31,2033.553469,995.58428000000004,2540.5799999999999,0.31956000000000001,0.3931,Me,12,1,10,bcu,25.391209830000001,5.8036269999999996
mof_unit_pretest_32,2776.2598350000003,1199.9826800000001,3117.2800000000002,0.36577999999999999,0.50960000000000005,COOH-OMe,2,24,29,pcu,12.454159600000001,4.956232
mof_unit_pretest_33,920.86070700000005,791.19494000000009,791.22000000000003,0.17358999999999999,0.1217,I-NHMe,2,5,13,pcu,19.189015179999998,6.3690370000000005
mof_unit_pretest_34,4529.021154,1287.8534400000001,4701.3599999999997,0.49008999999999991,1.0379,OMe-OEt,3,25,27,pcu,12.928546499999999,5.3206600000000002
mof_unit_pretest_35,1348.6182650000001,996.19844000000001,0,0.099169999999999994,0.0809,OH-Me,9,5,24,sra,27.13887544,6.8948869999999998
mof_unit_pretest_36,704.96242699999993,488.94978300000002,1210.8199999999999,0.21937999999999999,0.1905,HCO-F,3,10,11,pcu,17.468086329999998,5.7693339999999997
mof_unit_pretest_37,2345.3505610000002,1976.6725759999999,511.79000000000002,0.10188,0.072800000000000004,NH2-OH,10,50,57,etb,25.36073055,6.3651330000000002
mof_unit_pretest_38,5140.2653740000005,2575.1095999999998,2450.29,0.36068,0.43359999999999999,NH2-Br,12,1,22,bcu,12.511650919999999,4.7242660000000001
mof_unit_pretest_39,2877.7074579999999,1089.7238,3371.9000000000001,0.36291000000000001,0.57709999999999995,OPr-OEt,3,8,14,pcu,17.41426633,5.8231789999999997
mof_unit_pretest_40,3602.1870479999998,1759.7011199999999,2413.5900000000001,0.29982999999999999,0.36959999999999998,OPr-Br,3,13,28,pcu,24.814335620000001,5.8405580000000006
mof_unit_pretest_41,899.18328200000008,621.99964,0,0.13385,0.11650000000000001,NHMe-Cl,3,10,21,pcu,19.692297589999999,6.2667699999999993
mof_unit_pretest_42,1123.08791,759.34375999999997,834.01999999999998,0.12587000000000001,0.11210000000000001,OH,3,4,9,pcu,59.695677449999998,6.8959520000000003
mof_unit_pretest_43,1354.616724,645.56358,2364.1399999999999,0.31035000000000001,0.39219999999999999,OPr,2,11,16,pcu,13.798753209999999,5.292586
mof_unit_pretest_44,2991.7961700000001,1837.2370780000001,990.92999999999995,0.14273,0.14000000000000001,Et-F,9,16,23,sra,51.640565430000002,6.7046809999999999
mof_unit_pretest_45,4149.3672070000002,2021.3339599999999,2226.7199999999998,0.29637999999999998,0.3664,HCO-OMe,4,6,17,acs,29.495463950000001,5.7550080000000001
mof_unit_pretest_46,3270.2096999999999,2408.6995579999998,580.98000000000002,0.13725999999999999,0.11219999999999999,F-NO2,9,17,18,sra,30.32731763,7.0591429999999997
mof_unit_pretest_47,938.65349900000001,571.390806,1686.0999999999999,0.25901000000000002,0.25619999999999998,F,2,4,5,pcu,15.125070640000001,5.455203
mof_unit_pretest_48,1242.33069,689.25391999999999,1558.05,0.22741,0.24679999999999999,Ph,3,5,26,pcu,24.045544039999999,6.0750029999999997
mof_unit_pretest_49,1127.8041579999999,851.49536199999989,921.55999999999995,0.16375999999999999,0.13059999999999999,F-HCO,2,4,4,pcu,25.23735653,6.7451470000000002
mof_unit_pretest_50,1765.7068099999999,719.64695999999992,2821.79,0.40404000000000001,0.59699999999999998,Et,2,4,8,pcu,8.823012116000001,4.7961260000000001
mof_unit_pretest_51,2986.7766900000001,1558.4240199999999,1583.0799999999999,0.2157,0.249,CN-OPr,2,11,29,pcu,18.68721541,5.9158499999999998
mof_unit_pretest_52,11166.141208999999,7285.6993599999996,1381.28,0.31603999999999999,0.29170000000000001,SO3H,3,15,19,nbo,27.95283637,6.2988400000000002
mof_unit_pretest_53,3204.377551,1076.15524,3618.77,0.41199999999999998,0.73880000000000001,Me-NHMe,2,3,5,pcu,13.861400250000001,5.3221780000000001
mof_unit_pretest_54,3930.7363190000001,2932.9352800000001,0,0.1420799999999999,0.1147,Br,4,11,15,acs,41.80173198,6.8724820000000006
mof_unit_pretest_55,2060.8707610000001,1057.616053,1686.1199999999999,0.23416999999999999,0.27479999999999999,OPr-F,3,13,21,pcu,20.37448745,5.7704570000000004
mof_unit_pretest_56,2002.77891,968.6164,2332.8800000000001,0.36112,0.44969999999999999,NO2,2,4,27,pcu,16.78926045,4.8736600000000001
mof_unit_pretest_57,8703.8122100000001,4576.4844800000001,2084.9099999999999,0.32743,0.375,H-HCO,1,14,14,pcu,15.37905788,5.1131140000000004
mof_unit_pretest_58,7759.9242480000003,3678.438611,2818.5799999999999,0.42616999999999999,0.54139999999999999,F-H,3,38,40,fof,16.990438449999999,5.2508920000000003
mof_unit_pretest_59,5361.1258590000007,3172.67688,0,0.17982000000000001,0.183,Ph-NH2,12,1,22,bcu,22.580978420000001,6.7564119999999992
mof_unit_pretest_60,2297.8430189999999,1440.4500800000001,1378.3699999999999,0.22511999999999999,0.21629999999999999,Br-NHMe,9,4,17,sra,14.29292785,5.7493889999999999
mof_unit_pretest_61,1835.529738,1071.70676,463.76999999999998,0.13263,0.1368,Pr-H,3,10,29,pcu,40.03548747,6.6949380000000005
mof_unit_pretest_62,1273.9347250000001,790.96735999999999,1596.3,0.22796999999999989,0.22109999999999999,Cl-NHMe,3,10,27,pcu,11.81623426,5.7715269999999999
mof_unit_pretest_63,2885.5932130000001,1440.5482199999999,2826.02,0.37974999999999998,0.45810000000000001,Br-CN,2,14,29,pcu,15.50823143,5.2610790000000005
mof_unit_pretest_64,3175.9728829999999,1450.430826,3474.8899999999999,0.37733,0.49759999999999999,F-NO2,9,18,20,sra,27.880965589999999,6.4356939999999998
mof_unit_pretest_65,2308.995242,1877.612676,512.91999999999996,0.1176599999999999,0.087099999999999997,Me-COOH,10,42,57,etb,29.129334409999998,5.9033670000000003
mof_unit_pretest_66,807.45706900000005,623.47523999999999,623.82000000000005,0.11388,0.088800000000000004,CN-OEt,2,10,13,pcu,28.760975030000001,6.7299530000000001
mof_unit_pretest_67,1115.0188000000001,667.61216000000002,1302.8599999999999,0.20416999999999999,0.2054,H,2,14,22,pcu,16.54275423,6.0527179999999996
mof_unit_pretest_68,3195.9463730000002,2436.5309000000002,819.97000000000003,0.15075999999999989,0.1191,OPr-I,9,8,16,sra,40.737906690000003,6.5897520000000007
mof_unit_pretest_69,1618.875012,989.59983999999997,991.71000000000004,0.15029999999999999,0.14810000000000001,HCO-OPr,3,11,17,pcu,32.860731540000003,6.829721000000001
mof_unit_pretest_70,1595.883568,1457.367,415.22000000000003,0.10128999999999989,0.066799999999999998,I-NHMe,9,12,18,sra,14.274234999999999,6.4421269999999993
mof_unit_pretest_71,3847.2942360000002,1657.1400000000001,2824.6700000000001,0.32621,0.45610000000000001,Me-NH2,9,7,18,sra,53.931488420000001,6.7434130000000003
mof_unit_pretest_72,1083.1595109999998,619.12608,2223.1700000000001,0.28106999999999999,0.29609999999999997,NH2,3,5,17,pcu,19.250610330000001,5.9181140000000001
mof_unit_pretest_73,1791.2737420000001,887.66464000000008,2161.4099999999999,0.35843000000000003,0.43559999999999999,NO2-SO3H,2,1,26,pcu,11.78417117,5.4143319999999999
mof_unit_pretest_74,1481.6784270000001,905.61568,975.82000000000005,0.15487999999999999,0.15260000000000001,Me-Ph,3,12,18,pcu,27.118172609999998,6.7138939999999998
mof_unit_pretest_75,673.27185099999997,571.39751999999999,0,0.096250000000000002,0.0683,SO3H,2,10,11,pcu,87.942535660000004,8.7666839999999997
mof_unit_pretest_76,1922.1384009999999,1191.6224689999999,1104.1500000000001,0.18695000000000001,0.18160000000000001,F-OPr,3,13,16,pcu,30.017151519999999,6.186185
mof_unit_pretest_77,1420.577395,1196.3470400000001,0,0.059520000000000003,0.042599999999999999,COOH,9,5,2,sra,111.29509969999999,9.8419720000000002
mof_unit_pretest_78,1657.325834,1438.8173200000001,0,0.054510000000000003,0.0378,Me-OPr,4,5,24,acs,27.884078129999999,7.3057070000000008
mof_unit_pretest_79,5135.0540460000002,2851.2407800000001,1485.6500000000001,0.26507999999999998,0.28749999999999998,HCO-OH,2,9,9,nbo,22.141811669999999,5.6888040000000002
mof_unit_pretest_80,1622.3363869999998,1133.33268,1304.0799999999999,0.22747999999999999,0.1961,Br-NH2,2,9,13,pcu,15.173417969999999,6.3381300000000005
mof_unit_pretest_81,2935.9060559999998,1699.8440399999999,1930.5599999999999,0.35841999999999991,0.37280000000000002,SO3H-Br,2,22,29,pcu,20.781782849999999,6.1674769999999999
mof_unit_pretest_82,7601.1902799999998,2560.9380000000001,3576.52,0.52023999999999992,0.92989999999999995,Cl,9,28,28,sra,30.402904629999998,5.9620100000000003
mof_unit_pretest_83,1782.620844,901.55427999999995,1745.51,0.23733000000000001,0.28260000000000002,NHMe,3,13,19,pcu,14.302143389999999,5.5444260000000005
mof_unit_pretest_84,944.26519499999995,591.43007999999998,1400.3499999999999,0.22745000000000001,0.21870000000000001,OH,2,10,17,pcu,28.066646769999998,6.5041720000000005
mof_unit_pretest_85,2452.1760829999998,2316.9514159999999,176.44,0.04274,0.027199999999999998,Et-NO2,10,42,57,etb,46.84726328,7.9208869999999996
mof_unit_pretest_86,1831.4748810000001,837.49865999999997,2529.1999999999998,0.29977999999999999,0.39479999999999998,Me-H,3,16,19,pcu,12.42552744,4.7049849999999998
mof_unit_pretest_87,8757.4785169999996,5985.1329599999999,1079.3900000000001,0.22797999999999999,0.2009,COOH-OH,1,15,22,pcu,24.980106360000001,6.3432230000000001
mof_unit_pretest_88,1864.236058,1355.4882,1134.6900000000001,0.2343599999999999,0.19409999999999999,NO2,2,1,7,pcu,36.913817209999998,6.4128980000000002
mof_unit_pretest_89,3820.8057680000002,1284.4534799999999,3326.3800000000001,0.42381999999999997,0.75919999999999999,Me-NHMe,2,3,15,pcu,14.834638310000001,6.0166110000000002
mof_unit_pretest_90,2782.0481909999999,1869.9367199999999,0,0.099229999999999999,0.088900000000000007,NO2-Me,9,10,28,sra,35.417481719999998,7.2952750000000002
mof_unit_pretest_91,1864.7366730000001,915.35059999999999,2285.9400000000001,0.32663999999999999,0.4007,COOH-H,3,13,16,pcu,14.599986660000001,5.5896739999999996
mof_unit_pretest_92,3907.819254,3338.0732800000001,0,0.065929999999999905,0.0465,SO3H,4,4,14,acs,70.958289109999996,8.5678900000000002
mof_unit_pretest_93,908.70126800000003,841.35691999999995,0,0.047759999999999997,0.031099999999999999,Pr-SO3H,3,10,21,pcu,47.383073860000003,8.1531320000000012
mof_unit_pretest_94,1149.0473,736.13840000000005,1379.6700000000001,0.21091999999999991,0.1983,NO2-OMe,3,11,14,pcu,32.538984790000001,6.2968520000000003
mof_unit_pretest_95,1679.6958340000001,779.37645999999995,2568.7399999999998,0.33128999999999997,0.42999999999999999,Me,3,16,24,pcu,11.41180604,5.3943019999999997
mof_unit_pretest_96,2233.7107639999999,1095.10232,1823.8900000000001,0.21412999999999999,0.26300000000000001,OEt-NH2,2,16,23,pcu,23.212156400000001,6.25997
mof_unit_pretest_97,4684.7250169999998,4759.5390500000003,718.55999999999995,0.20271,0.1202,I-NHMe,4,17,23,acs,20.81684933,5.2452940000000003
mof_unit_pretest_98,1572.472031,777.31927999999994,2227.8000000000002,0.32350999999999991,0.39410000000000001,HCO-NHMe,3,1,17,pcu,13.87781189,5.1652849999999999
mof_unit_pretest_99,2053.7178760000002,1106.00216,1622.3099999999999,0.25435000000000002,0.28439999999999999,Me-NO2,2,9,18,pcu,24.031689709999998,5.7493089999999993
mof_unit_pretest_100,1144.4011740000001,673.107573,1746.52,0.26862999999999998,0.27500000000000002,OMe-F,3,11,14,pcu,14.12301712,5.2577759999999998
mof_unit_pretest_101,1121.1006170000001,781.01386600000001,1375.8399999999999,0.2278599999999999,0.19700000000000001,OH-F,3,10,26,pcu,16.762792090000001,5.4282690000000002
mof_unit_pretest_102,3009.9928829999999,1165.90236,3075.5500000000002,0.37140000000000001,0.57740000000000002,OMe-Pr,3,17,18,pcu,15.988368250000001,5.4831029999999998
mof_unit_pretest_103,1147.5053800000001,992.73979999999995,855.41999999999996,0.20810999999999999,0.1449,HCO-Br,3,1,4,pcu,25.313220780000002,5.9037169999999994
mof_unit_pretest_104,1122.8244569999999,975.67866000000004,0,0.041329999999999999,0.0286,COOH-H,2,14,22,pcu,43.091273610000002,8.8531969999999998
mof_unit_pretest_105,4312.2362640000001,1557.1816799999999,3154.77,0.39283000000000001,0.65510000000000002,Et,9,26,26,sra,11.944181690000001,5.3287950000000004
mof_unit_pretest_106,5135.7483069999998,2827.8771200000001,1837.9300000000001,0.2989699999999999,0.32700000000000001,SO3H,12,1,24,bcu,19.563615080000002,5.2355130000000001
mof_unit_pretest_107,1148.424853,776.44821999999999,1444.8699999999999,0.24257999999999999,0.21609999999999999,SO3H-Br,2,11,14,pcu,17.14785698,5.9153929999999999
mof_unit_pretest_108,1688.117763,1391.50764,0,0.10019,0.073200000000000001,Cl,4,5,14,acs,96.156083719999998,7.3722830000000004
mof_unit_pretest_109,2259.8840019999998,853.81876,3291.0799999999999,0.4098699999999999,0.65329999999999999,OPr,2,2,14,pcu,9.3344867439999994,5.6540499999999998
mof_unit_pretest_110,5147.9997590000003,2415.557053,2581.1999999999998,0.35461999999999999,0.4551,F,12,4,24,bcu,12.564248729999999,5.4685290000000002
mof_unit_pretest_111,774.38669900000002,595.00887999999998,801.92999999999995,0.15975,0.12520000000000001,OH-H,3,5,22,pcu,21.95529715,5.9981669999999996
mof_unit_pretest_112,1055.412045,817.42444,0,0,0,Ph,3,10,25,pcu,32.793448009999999,9.4902999999999995
mof_unit_pretest_113,2375.6151199999999,1330.6974600000001,723.03999999999996,0.18795000000000001,0.2021,OPr,9,2,25,sra,56.734713720000002,6.0833430000000002
mof_unit_pretest_114,2378.2074859999998,1273.4515019999999,2222.6300000000001,0.34087000000000001,0.38340000000000002,HCO-F,3,18,22,pcu,16.396851330000001,5.3341989999999999
mof_unit_pretest_115,4331.7634790000002,2426.9078,1982.8099999999999,0.32773000000000002,0.3523,I,4,17,25,acs,27.373658689999999,4.9662639999999998
mof_unit_pretest_116,1995.9199249999999,1845.0509999999999,0,0,0,NH2-CN,9,2,16,sra,5.9244798679999997,9.4825189999999999
mof_unit_pretest_117,1982.539321,1170.2082800000001,1278.9300000000001,0.20729,0.21149999999999999,COOH-NHMe,1,10,18,pcu,26.15137631,5.8176249999999996
mof_unit_pretest_118,4161.039632,2505.8078,1092.6900000000001,0.17634,0.17630000000000001,NH2-OMe,4,6,17,acs,11.006717950000001,7.5384729999999998
mof_unit_pretest_119,1689.563547,1033.7000800000001,0,0.1303,0.1283,Ph-OPr,3,16,24,pcu,56.029255560000003,7.0201080000000005
mof_unit_pretest_120,2867.6043920000002,2060.6121560000001,922.32000000000005,0.19064999999999999,0.1598,NHMe-Cl,10,55,57,etb,25.915948149999998,7.1853610000000003
mof_unit_pretest_121,7720.1977659999993,2984.9522000000002,3452.9899999999998,0.40494000000000002,0.63070000000000004,Br-Pr,3,35,35,pts,8.5575570949999999,5.7226059999999999
mof_unit_pretest_122,2792.3568110000001,1845.08476,0,0.10611,0.096699999999999994,COOH-OPr,9,16,20,sra,17.874527409999999,7.9065219999999998
mof_unit_pretest_123,958.775758,783.31747999999993,0,0.04052,0.029899999999999999,OPr-OH,3,1,5,pcu,16.315143079999999,9.3733489999999993
mof_unit_pretest_124,1747.0262749999999,807.57983999999999,2467.52,0.35363,0.4607,HCO,2,1,8,pcu,22.938696820000001,5.6293709999999999
mof_unit_pretest_125,1688.329673,1410.67958,0,0.086410000000000001,0.062300000000000001,OEt-COOH,4,5,14,acs,49.06303552,7.8982520000000003
mof_unit_pretest_126,2870.0023900000001,1080.9529399999999,3543.1700000000001,0.42677999999999999,0.68240000000000001,NHMe,2,4,29,pcu,9.9615639740000006,4.452032
mof_unit_pretest_127,1140.7336339999999,754.41687999999999,0,0.13210999999999989,0.1203,NH2-Et,3,4,22,pcu,24.611606500000001,6.5495269999999994
mof_unit_pretest_128,904.869643,641.40924000000007,804.51999999999998,0.15676999999999999,0.13320000000000001,HCO-CN,2,1,10,pcu,38.90448439,6.5429760000000003
mof_unit_pretest_129,3095.555167,2438.2287500000002,1110.27,0.2241199999999999,0.1714,Me-I,4,13,21,acs,20.78469527,5.6947220000000005
mof_unit_pretest_130,1346.4483170000001,713.32014000000004,1855.3800000000001,0.25087999999999999,0.28520000000000001,NHMe-Me,3,4,13,pcu,21.178230320000001,5.8526600000000002
mof_unit_pretest_131,676.38247100000001,513.40436,0,0.094920000000000004,0.075300000000000006,Et,2,10,14,pcu,51.140213369999998,7.5490679999999992
mof_unit_pretest_132,3729.3016210000001,1917.1556800000001,1791.8800000000001,0.35672999999999999,0.41789999999999999,SO3H,9,2,7,sra,17.13998273,5.583475
mof_unit_pretest_133,2386.3170019999998,1776.6962600000002,204.38999999999999,0.12292,0.099400000000000002,SO3H-I,9,2,23,sra,75.436680199999998,8.3475320000000011
mof_unit_pretest_134,1120.992986,613.52172000000007,1759.5799999999999,0.27628000000000003,0.30399999999999999,H,2,4,4,pcu,12.487699989999999,5.3404870000000004
mof_unit_pretest_135,1947.266243,1698.6150399999999,0,0.093339999999999895,0.064399999999999999,HCO-Br,4,1,15,acs,81.289214909999998,8.2593750000000004
mof_unit_pretest_136,1618.968537,1204.33104,0,0.11260000000000001,0.091200000000000003,H-NO2,9,1,2,sra,55.641279480000001,7.4920149999999994
mof_unit_pretest_137,1096.329669,657.25864000000001,853.77999999999997,0.15717999999999999,0.15790000000000001,NHMe-H,3,10,26,pcu,32.805526579999999,6.7053560000000001
mof_unit_pretest_138,1619.654037,1164.43128,817.23000000000002,0.15448000000000001,0.12939999999999999,HCO-H,9,12,22,sra,36.005164950000001,6.5437269999999996
mof_unit_pretest_139,4199.7161729999998,1982.593916,2181.23,0.40623999999999999,0.51819999999999999,Br,10,43,54,etb,18.231750770000001,5.8037960000000002
mof_unit_pretest_140,1755.474886,781.30467999999996,2632.5599999999999,0.37386999999999998,0.50590000000000002,COOH,3,4,26,pcu,15.15622531,5.031015
mof_unit_pretest_141,1135.0382199999999,1171.33412,0,0.082110000000000002,0.047899999999999998,NHMe-Cl,2,22,24,pcu,32.986098990000002,7.9513070000000008
mof_unit_pretest_142,2398.403558,872.22289999999998,3500.6700000000001,0.44472,0.73640000000000005,Cl,2,16,26,pcu,10.83897848,5.3906519999999993
mof_unit_pretest_143,4951.496709,2749.5904,1767.6600000000001,0.23880000000000001,0.25900000000000001,COOH-H,4,7,23,acs,17.389759649999998,5.4649419999999997
mof_unit_pretest_144,5372.9302790000002,2397.5775199999998,2032.3900000000001,0.38704,0.52229999999999999,SO3H-HCO,9,3,3,sra,14.9368503,5.9739300000000002
mof_unit_pretest_145,1129.4465190000001,573.13891999999998,2290,0.31331999999999999,0.37180000000000002,NHMe,3,1,11,pcu,9.8143374619999992,5.1011870000000004
mof_unit_pretest_146,1119.5682880000002,609.21078,1697.9400000000001,0.24466999999999989,0.27079999999999999,Pr,3,4,11,pcu,14.28023539,5.5992160000000002
mof_unit_pretest_147,2263.7747180000001,905.97943999999995,2811.4099999999999,0.33426,0.503,Pr,2,2,14,pcu,14.86757338,5.5194960000000002
mof_unit_pretest_148,1952.093122,1496.63348,655.99000000000001,0.14338999999999999,0.11260000000000001,OH-H,4,11,22,acs,49.012774440000001,7.1100899999999996
mof_unit_pretest_149,1592.644867,1153.0728800000002,1092.3599999999999,0.20416999999999999,0.16980000000000001,COOH-Cl,3,1,17,pcu,27.906106229999999,6.1319509999999999
mof_unit_pretest_150,2590.1484879999998,1307.0022800000002,1985.8699999999999,0.26234000000000002,0.31309999999999999,Pr-NO2,12,4,22,bcu,13.46416258,5.9411750000000003
mof_unit_pretest_151,1818.893415,1246.05072,1477.6700000000001,0.26639000000000002,0.23419999999999999,COOH-Cl,2,1,26,pcu,14.44231104,5.8056590000000003
mof_unit_pretest_152,1103.239873,667.57240000000002,1177.4200000000001,0.18886,0.188,CN-NHMe,2,4,24,pcu,32.921365420000001,6.0998530000000004
mof_unit_pretest_153,1684.0498350000005,901.82201999999995,1748.3199999999999,0.26029999999999998,0.29270000000000002,NHMe-OMe,2,4,6,pcu,16.026815190000001,5.6485130000000003
mof_unit_pretest_154,1825.9834470000001,1529.341942,582.52999999999997,0.11143,0.080100000000000005,Me-F,10,44,46,etb,18.79535645,6.5143830000000005
mof_unit_pretest_155,1824.129242,1019.55268,1492.6600000000001,0.19028,0.20499999999999999,NHMe,3,10,29,pcu,53.698448839999998,7.3669520000000004
mof_unit_pretest_156,2266.1761409999999,1590.6625200000001,769.75,0.13782,0.1182,OMe-OH,3,14,14,pcu,55.098282240000003,6.6984260000000004
mof_unit_pretest_157,1573.369733,712.70090000000005,2364.4200000000001,0.25146999999999992,0.33429999999999999,H-NHMe,2,12,23,pcu,14.24850867,5.0312599999999996
mof_unit_pretest_158,1080.2257890000001,853.81581999999992,0,0,0,OPr-SO3H,2,12,22,pcu,136.83094149999999,8.1243829999999999
mof_unit_pretest_159,1795.4152260000001,961.91197999999997,1654.8099999999999,0.23219999999999999,0.26100000000000001,Et-COOH,2,4,26,pcu,20.005900449999999,5.715706
mof_unit_pretest_160,1817.645851,1488.64248,0,0.069709999999999994,0.051299999999999998,SO3H-CN,9,2,19,sra,70.490670179999995,8.891691999999999
mof_unit_pretest_161,1939.1431760000005,1574.94686,0,0.064329999999999998,0.047699999999999999,Me-SO3H,4,1,9,acs,69.402451830000004,7.6087149999999992
mof_unit_pretest_162,2239.6688710000003,1941.8337160000001,0,0.043959999999999999,0.030499999999999999,OPr-NH2,10,49,57,etb,70.340432390000004,6.9870130000000001
mof_unit_pretest_163,1927.8815509999999,1860.9817599999999,0,0.041799999999999997,0.026100000000000002,SO3H-OH,9,13,24,sra,47.621809310000003,8.5583969999999994
mof_unit_pretest_164,2256.9571620000002,1023.98136,2626.7199999999998,0.31464999999999999,0.41760000000000003,OMe-Me,2,13,17,pcu,14.27652264,5.7549970000000004
mof_unit_pretest_165,1138.4661160000001,696.18534,1625.54,0.22789999999999999,0.22439999999999999,CN-SO3H,3,11,14,pcu,17.98338983,5.9249870000000007
mof_unit_pretest_166,3493.0439590000005,1590.8949399999999,2668.1300000000001,0.29915000000000003,0.39560000000000001,OMe-H,9,6,18,sra,39.984768369999998,6.7091089999999998
mof_unit_pretest_167,2606.564805,1588.2218399999999,0,0.16158,0.15970000000000001,OH-HCO,12,9,11,bcu,45.61931697,7.1296920000000004
