,MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],CO2_working_capacity [mL/g]
48,mof_unit_pretest_49,1127.804158,851.4953619999999,921.56,0.16376,0.1306,F-HCO,2,4,4,pcu,25.23735653,6.745147,151.13327
49,mof_unit_pretest_50,1765.7068100000001,719.6469599999998,2821.79,0.40404,0.597,Et,2,4,8,pcu,8.823012116000001,4.796126,52.110283
50,mof_unit_pretest_51,2986.7766899999997,1558.42402,1583.08,0.2157,0.249,CN-OPr,2,11,29,pcu,18.68721541,5.91585,115.466705
51,mof_unit_pretest_52,11166.141209000001,7285.69936,1381.28,0.31604,0.2917,SO3H,3,15,19,nbo,27.95283637,6.29884,135.95784
52,mof_unit_pretest_53,3204.377551,1076.15524,3618.77,0.41200000000000003,0.7388,Me-NHMe,2,3,5,pcu,13.86140025,5.322178,61.13375
53,mof_unit_pretest_54,3930.7363189999996,2932.93528,0.0,0.1420799999999999,0.1147,Br,4,11,15,acs,41.80173198,6.8724820000000015,175.11652
54,mof_unit_pretest_55,2060.870761,1057.616053,1686.12,0.23417,0.2748,OPr-F,3,13,21,pcu,20.37448745,5.770457,111.77458
55,mof_unit_pretest_56,2002.7789100000002,968.6164,2332.88,0.36112,0.4497,NO2,2,4,27,pcu,16.78926045,4.87366,63.29212
56,mof_unit_pretest_57,8703.81221,4576.48448,2084.91,0.32743,0.375,H-HCO,1,14,14,pcu,15.37905788,5.113114,106.71809
57,mof_unit_pretest_58,7759.924248,3678.438611,2818.58,0.42617,0.5414,F-H,3,38,40,fof,16.99043845,5.2508919999999994,90.70917
58,mof_unit_pretest_59,5361.125859000002,3172.67688,0.0,0.17982,0.183,Ph-NH2,12,1,22,bcu,22.58097842,6.756411999999999,158.22368
59,mof_unit_pretest_60,2297.843019,1440.45008,1378.37,0.22512,0.2163,Br-NHMe,9,4,17,sra,14.29292785,5.749389,79.32739
60,mof_unit_pretest_61,1835.529738,1071.70676,463.77,0.13263,0.1368,Pr-H,3,10,29,pcu,40.03548747,6.6949380000000005,151.61407
61,mof_unit_pretest_62,1273.934725,790.96736,1596.3,0.2279699999999999,0.2211,Cl-NHMe,3,10,27,pcu,11.81623426,5.771527,104.356705
62,mof_unit_pretest_63,2885.593213,1440.54822,2826.02,0.37975,0.4581,Br-CN,2,14,29,pcu,15.50823143,5.2610790000000005,71.30702
63,mof_unit_pretest_64,3175.972883,1450.430826,3474.89,0.37733,0.4976,F-NO2,9,18,20,sra,27.88096559,6.435694,87.87309
64,mof_unit_pretest_65,2308.995242,1877.6126760000002,512.92,0.1176599999999999,0.0871,Me-COOH,10,42,57,etb,29.12933441,5.903367,128.84657
65,mof_unit_pretest_66,807.457069,623.47524,623.82,0.11388,0.0888,CN-OEt,2,10,13,pcu,28.76097503,6.729953,151.83722
66,mof_unit_pretest_67,1115.0188,667.61216,1302.86,0.20417000000000002,0.2054,H,2,14,22,pcu,16.54275423,6.052718,144.05518
67,mof_unit_pretest_68,3195.946373,2436.5309,819.97,0.1507599999999999,0.1191,OPr-I,9,8,16,sra,40.73790669,6.589752000000002,154.12381
68,mof_unit_pretest_69,1618.875012,989.5998400000001,991.71,0.1503,0.1481,HCO-OPr,3,11,17,pcu,32.86073154,6.829721000000001,177.23328
69,mof_unit_pretest_70,1595.883568,1457.3670000000002,415.22,0.1012899999999999,0.0668,I-NHMe,9,12,18,sra,14.274235000000001,6.442126999999998,106.15609
70,mof_unit_pretest_71,3847.2942359999997,1657.14,2824.67,0.32621,0.4561,Me-NH2,9,7,18,sra,53.93148842,6.743413,98.192154
71,mof_unit_pretest_72,1083.1595109999996,619.12608,2223.17,0.28107,0.2961,NH2,3,5,17,pcu,19.25061033,5.918114,101.35095
72,mof_unit_pretest_73,1791.273742,887.6646400000002,2161.41,0.35843,0.4356,NO2-SO3H,2,1,26,pcu,11.78417117,5.414332,82.041565
73,mof_unit_pretest_74,1481.678427,905.6156800000001,975.82,0.15488,0.1526,Me-Ph,3,12,18,pcu,27.11817261,6.713894,176.24771
74,mof_unit_pretest_75,673.271851,571.39752,0.0,0.09625,0.0683,SO3H,2,10,11,pcu,87.94253566,8.766684,132.66647
75,mof_unit_pretest_76,1922.1384010000002,1191.622469,1104.15,0.18695,0.1816,F-OPr,3,13,16,pcu,30.01715152,6.186185,132.65985
76,mof_unit_pretest_77,1420.577395,1196.34704,0.0,0.05952,0.0426,COOH,9,5,2,sra,111.2950997,9.841972,150.97104
77,mof_unit_pretest_78,1657.325834,1438.8173199999999,0.0,0.05451,0.0378,Me-OPr,4,5,24,acs,27.88407813,7.305707000000001,128.4219
78,mof_unit_pretest_79,5135.054046,2851.24078,1485.65,0.26508000000000004,0.2875,HCO-OH,2,9,9,nbo,22.14181167,5.688804,96.33236
79,mof_unit_pretest_80,1622.3363869999996,1133.33268,1304.08,0.22748000000000002,0.1961,Br-NH2,2,9,13,pcu,15.17341797,6.3381300000000005,125.59436
80,mof_unit_pretest_81,2935.906056,1699.84404,1930.56,0.3584199999999999,0.3728,SO3H-Br,2,22,29,pcu,20.78178285,6.167477,101.07411
81,mof_unit_pretest_82,7601.19028,2560.938,3576.52,0.5202399999999999,0.9299,Cl,9,28,28,sra,30.40290463,5.96201,79.13472
82,mof_unit_pretest_83,1782.620844,901.5542800000001,1745.51,0.23733,0.2826,NHMe,3,13,19,pcu,14.30214339,5.5444260000000005,105.00068
83,mof_unit_pretest_84,944.265195,591.43008,1400.35,0.22745,0.2187,OH,2,10,17,pcu,28.06664677,6.5041720000000005,153.77507
84,mof_unit_pretest_85,2452.176083,2316.951416,176.44,0.04274,0.0272,Et-NO2,10,42,57,etb,46.84726328,7.920887,151.20056
85,mof_unit_pretest_86,1831.4748809999999,837.49866,2529.2,0.29978,0.3948,Me-H,3,16,19,pcu,12.42552744,4.704985,58.602074
86,mof_unit_pretest_87,8757.478517,5985.13296,1079.39,0.22798000000000002,0.2009,COOH-OH,1,15,22,pcu,24.98010636,6.343223,138.31021
87,mof_unit_pretest_88,1864.2360579999997,1355.4882,1134.69,0.2343599999999999,0.1941,NO2,2,1,7,pcu,36.91381721,6.412898,124.65767
88,mof_unit_pretest_89,3820.805768,1284.4534800000001,3326.38,0.42382,0.7592,Me-NHMe,2,3,15,pcu,14.83463831,6.016611,75.05266
89,mof_unit_pretest_90,2782.048191,1869.93672,0.0,0.09923,0.0889,NO2-Me,9,10,28,sra,35.41748172,7.295275,166.97995
90,mof_unit_pretest_91,1864.736673,915.3506,2285.94,0.32664,0.4007,COOH-H,3,13,16,pcu,14.59998666,5.589674,85.387314
91,mof_unit_pretest_92,3907.819254,3338.07328,0.0,0.0659299999999999,0.0465,SO3H,4,4,14,acs,70.95828911,8.56789,229.19536
92,mof_unit_pretest_93,908.7012679999999,841.35692,0.0,0.047760000000000004,0.0311,Pr-SO3H,3,10,21,pcu,47.38307386,8.153132000000001,103.87779
93,mof_unit_pretest_94,1149.0473,736.1384,1379.67,0.2109199999999999,0.1983,NO2-OMe,3,11,14,pcu,32.53898479,6.2968519999999994,135.22641
94,mof_unit_pretest_95,1679.6958339999999,779.37646,2568.74,0.33129000000000003,0.43,Me,3,16,24,pcu,11.41180604,5.394302,74.340195
95,mof_unit_pretest_96,2233.710764,1095.10232,1823.89,0.21413000000000001,0.263,OEt-NH2,2,16,23,pcu,23.212156399999998,6.25997,135.07837
96,mof_unit_pretest_97,4684.725017,4759.53905,718.56,0.20271,0.1202,I-NHMe,4,17,23,acs,20.81684933,5.245294,113.89691
97,mof_unit_pretest_98,1572.472031,777.3192799999998,2227.8,0.3235099999999999,0.3941,HCO-NHMe,3,1,17,pcu,13.87781189,5.165285,72.15142
98,mof_unit_pretest_99,2053.717876,1106.00216,1622.31,0.25435,0.2844,Me-NO2,2,9,18,pcu,24.03168971,5.7493089999999984,110.950424
99,mof_unit_pretest_100,1144.401174,673.107573,1746.52,0.26863000000000004,0.275,OMe-F,3,11,14,pcu,14.12301712,5.257776,78.71427
100,mof_unit_pretest_101,1121.100617,781.013866,1375.84,0.2278599999999999,0.19699999999999998,OH-F,3,10,26,pcu,16.76279209,5.428269,85.604126
101,mof_unit_pretest_102,3009.992883,1165.90236,3075.55,0.3714,0.5774,OMe-Pr,3,17,18,pcu,15.98836825,5.483103,69.05768
102,mof_unit_pretest_103,1147.50538,992.7398,855.42,0.20811,0.1449,HCO-Br,3,1,4,pcu,25.31322078,5.9037169999999985,95.18457
103,mof_unit_pretest_104,1122.824457,975.6786599999999,0.0,0.04133,0.0286,COOH-H,2,14,22,pcu,43.09127361,8.853197,134.3674
104,mof_unit_pretest_105,4312.236264,1557.1816800000001,3154.77,0.39283,0.6551,Et,9,26,26,sra,11.94418169,5.3287949999999995,62.989563
105,mof_unit_pretest_106,5135.748307,2827.87712,1837.93,0.2989699999999999,0.327,SO3H,12,1,24,bcu,19.56361508,5.235513,76.87085
106,mof_unit_pretest_107,1148.424853,776.44822,1444.87,0.24258000000000002,0.2161,SO3H-Br,2,11,14,pcu,17.14785698,5.915393,108.71539
107,mof_unit_pretest_108,1688.117763,1391.50764,0.0,0.10019,0.0732,Cl,4,5,14,acs,96.15608372,7.372283,139.85536
108,mof_unit_pretest_109,2259.884002,853.81876,3291.08,0.4098699999999999,0.6533,OPr,2,2,14,pcu,9.334486744,5.65405,68.96538
109,mof_unit_pretest_110,5147.999759,2415.557053,2581.2,0.35462,0.4551,F,12,4,24,bcu,12.56424873,5.468529,80.742645
110,mof_unit_pretest_111,774.386699,595.00888,801.93,0.15975,0.1252,OH-H,3,5,22,pcu,21.95529715,5.998167,112.08893
111,mof_unit_pretest_112,1055.412045,817.42444,0.0,0.0,0.0,Ph,3,10,25,pcu,32.79344801,9.4903,160.82967
112,mof_unit_pretest_113,2375.61512,1330.6974599999999,723.04,0.18795,0.2021,OPr,9,2,25,sra,56.73471372,6.083343,132.38443
113,mof_unit_pretest_114,2378.207486,1273.451502,2222.63,0.34087,0.3834,HCO-F,3,18,22,pcu,16.39685133,5.334199,74.31782
114,mof_unit_pretest_115,4331.763479,2426.9078,1982.81,0.32773,0.3523,I,4,17,25,acs,27.37365869,4.966264,75.9687
115,mof_unit_pretest_116,1995.919925,1845.0510000000002,0.0,0.0,0.0,NH2-CN,9,2,16,sra,5.924479868,9.482519,160.1074
116,mof_unit_pretest_117,1982.5393210000002,1170.20828,1278.93,0.20729,0.2115,COOH-NHMe,1,10,18,pcu,26.15137631,5.817625,124.32342
117,mof_unit_pretest_118,4161.039632,2505.8078,1092.69,0.17634,0.1763,NH2-OMe,4,6,17,acs,11.00671795,7.538473,166.48784
118,mof_unit_pretest_119,1689.563547,1033.70008,0.0,0.1303,0.1283,Ph-OPr,3,16,24,pcu,56.02925556,7.0201080000000005,147.83842
119,mof_unit_pretest_120,2867.604392,2060.6121559999997,922.32,0.19065,0.1598,NHMe-Cl,10,55,57,etb,25.91594815,7.185361,170.36066
120,mof_unit_pretest_121,7720.197765999998,2984.9522,3452.99,0.40494,0.6307,Br-Pr,3,35,35,pts,8.557557095,5.722606,91.3291
121,mof_unit_pretest_122,2792.356811,1845.0847600000002,0.0,0.10611,0.0967,COOH-OPr,9,16,20,sra,17.87452741,7.906522,180.90453
122,mof_unit_pretest_123,958.775758,783.3174799999998,0.0,0.04052,0.0299,OPr-OH,3,1,5,pcu,16.31514308,9.373349000000001,145.04268
123,mof_unit_pretest_124,1747.026275,807.57984,2467.52,0.35363,0.4607,HCO,2,1,8,pcu,22.93869682,5.629371,83.91325
124,mof_unit_pretest_125,1688.329673,1410.67958,0.0,0.08641,0.0623,OEt-COOH,4,5,14,acs,49.06303552,7.898252,146.5912
125,mof_unit_pretest_126,2870.0023899999997,1080.9529400000001,3543.17,0.42678,0.6824,NHMe,2,4,29,pcu,9.961563974,4.452032,46.43112
126,mof_unit_pretest_127,1140.733634,754.41688,0.0,0.1321099999999999,0.1203,NH2-Et,3,4,22,pcu,24.6116065,6.5495269999999985,118.319374
127,mof_unit_pretest_128,904.869643,641.4092400000002,804.52,0.15677,0.1332,HCO-CN,2,1,10,pcu,38.90448439,6.542976,160.73615
128,mof_unit_pretest_129,3095.555167,2438.22875,1110.27,0.2241199999999999,0.1714,Me-I,4,13,21,acs,20.78469527,5.6947220000000005,105.62858
129,mof_unit_pretest_130,1346.448317,713.32014,1855.38,0.25088,0.2852,NHMe-Me,3,4,13,pcu,21.17823032,5.85266,117.3556
130,mof_unit_pretest_131,676.382471,513.40436,0.0,0.09492,0.0753,Et,2,10,14,pcu,51.14021337,7.549067999999999,116.60373
131,mof_unit_pretest_132,3729.301621,1917.15568,1791.88,0.35673,0.4179,SO3H,9,2,7,sra,17.13998273,5.583475,75.98409
132,mof_unit_pretest_133,2386.317002,1776.6962600000004,204.39,0.12292,0.0994,SO3H-I,9,2,23,sra,75.4366802,8.347532000000001,197.16452
133,mof_unit_pretest_134,1120.992986,613.5217200000002,1759.58,0.27628,0.304,H,2,4,4,pcu,12.48769999,5.340487,93.11673
134,mof_unit_pretest_135,1947.266243,1698.61504,0.0,0.0933399999999999,0.0644,HCO-Br,4,1,15,acs,81.28921491,8.259375,155.10474
135,mof_unit_pretest_136,1618.968537,1204.33104,0.0,0.1126,0.0912,H-NO2,9,1,2,sra,55.64127948,7.4920149999999985,139.89932
136,mof_unit_pretest_137,1096.329669,657.25864,853.78,0.15718,0.1579,NHMe-H,3,10,26,pcu,32.80552658,6.705356,184.6188
137,mof_unit_pretest_138,1619.654037,1164.43128,817.23,0.15448,0.1294,HCO-H,9,12,22,sra,36.00516495,6.543727,127.361786
138,mof_unit_pretest_139,4199.716173,1982.593916,2181.23,0.40624,0.5182,Br,10,43,54,etb,18.23175077,5.803796,81.649376
139,mof_unit_pretest_140,1755.474886,781.30468,2632.56,0.37387,0.5059,COOH,3,4,26,pcu,15.15622531,5.031015,61.69863
140,mof_unit_pretest_141,1135.03822,1171.33412,0.0,0.08211,0.0479,NHMe-Cl,2,22,24,pcu,32.98609899,7.951307000000001,100.87535
141,mof_unit_pretest_142,2398.403558,872.2229,3500.67,0.44472,0.7364,Cl,2,16,26,pcu,10.83897848,5.3906519999999984,58.767284
142,mof_unit_pretest_143,4951.496709,2749.5904,1767.66,0.2388,0.259,COOH-H,4,7,23,acs,17.38975965,5.464942,86.77112
143,mof_unit_pretest_144,5372.930279,2397.57752,2032.39,0.38704,0.5223,SO3H-HCO,9,3,3,sra,14.9368503,5.97393,104.514465
144,mof_unit_pretest_145,1129.4465189999999,573.13892,2290.0,0.31332,0.3718,NHMe,3,1,11,pcu,9.814337462000001,5.101187,65.89035
145,mof_unit_pretest_146,1119.5682880000004,609.21078,1697.94,0.2446699999999999,0.2708,Pr,3,4,11,pcu,14.28023539,5.599216,105.77355
146,mof_unit_pretest_147,2263.774718,905.9794400000001,2811.41,0.33426,0.503,Pr,2,2,14,pcu,14.86757338,5.519496,76.62582
147,mof_unit_pretest_148,1952.093122,1496.63348,655.99,0.14339000000000002,0.1126,OH-H,4,11,22,acs,49.01277444,7.11009,164.05055
148,mof_unit_pretest_149,1592.644867,1153.0728800000004,1092.36,0.20417000000000002,0.1698,COOH-Cl,3,1,17,pcu,27.90610623,6.131951,116.07332
149,mof_unit_pretest_150,2590.148488,1307.0022800000004,1985.87,0.26234,0.3131,Pr-NO2,12,4,22,bcu,13.46416258,5.941175,80.38245
150,mof_unit_pretest_151,1818.8934149999998,1246.05072,1477.67,0.26639,0.2342,COOH-Cl,2,1,26,pcu,14.44231104,5.8056589999999995,96.63789
151,mof_unit_pretest_152,1103.239873,667.5724,1177.42,0.18886,0.188,CN-NHMe,2,4,24,pcu,32.92136542,6.0998529999999995,150.34526
152,mof_unit_pretest_153,1684.0498350000007,901.82202,1748.32,0.2603,0.2927,NHMe-OMe,2,4,6,pcu,16.02681519,5.6485129999999995,110.95925
153,mof_unit_pretest_154,1825.9834469999998,1529.341942,582.53,0.11143,0.0801,Me-F,10,44,46,etb,18.79535645,6.5143830000000005,127.02356
154,mof_unit_pretest_155,1824.1292420000002,1019.5526800000001,1492.66,0.19028,0.205,NHMe,3,10,29,pcu,53.69844884,7.366952,196.99683
155,mof_unit_pretest_156,2266.176141,1590.6625199999999,769.75,0.13782,0.1182,OMe-OH,3,14,14,pcu,55.09828224,6.6984259999999995,158.27942
156,mof_unit_pretest_157,1573.369733,712.7009,2364.42,0.2514699999999999,0.3343,H-NHMe,2,12,23,pcu,14.24850867,5.03126,72.796875
157,mof_unit_pretest_158,1080.225789,853.8158199999998,0.0,0.0,0.0,OPr-SO3H,2,12,22,pcu,136.8309415,8.124383,134.82854
158,mof_unit_pretest_159,1795.415226,961.9119800000001,1654.81,0.2322,0.261,Et-COOH,2,4,26,pcu,20.00590045,5.715706,117.05462
159,mof_unit_pretest_160,1817.6458510000002,1488.64248,0.0,0.06971000000000001,0.0513,SO3H-CN,9,2,19,sra,70.49067018,8.891691999999997,161.02277
160,mof_unit_pretest_161,1939.1431760000007,1574.94686,0.0,0.06433,0.0477,Me-SO3H,4,1,9,acs,69.40245183,7.608714999999999,159.507
161,mof_unit_pretest_162,2239.6688710000008,1941.833716,0.0,0.04396,0.0305,OPr-NH2,10,49,57,etb,70.34043239,6.987013,136.80441
162,mof_unit_pretest_163,1927.8815510000002,1860.9817600000001,0.0,0.0418,0.0261,SO3H-OH,9,13,24,sra,47.62180931,8.558397,135.45564
163,mof_unit_pretest_164,2256.957162,1023.98136,2626.72,0.31465,0.4176,OMe-Me,2,13,17,pcu,14.27652264,5.754997,89.56484
164,mof_unit_pretest_165,1138.466116,696.18534,1625.54,0.2279,0.2244,CN-SO3H,3,11,14,pcu,17.98338983,5.924987000000002,112.46164
165,mof_unit_pretest_166,3493.0439590000005,1590.8949400000001,2668.13,0.29915,0.3956,OMe-H,9,6,18,sra,39.98476837,6.709109,104.239655
166,mof_unit_pretest_167,2606.564805,1588.22184,0.0,0.16158,0.1597,OH-HCO,12,9,11,bcu,45.61931697,7.1296919999999995,152.25803
167,mof_unit_pretest_168,3965.4869719999997,3457.3369310000007,0.0,0.10005,0.0691,F-HCO,4,1,11,acs,145.8519469,7.965403,207.52951
168,mof_unit_pretest_169,2794.123018,1731.516296,1362.92,0.25225,0.2451,H-Et,10,42,53,etb,18.27376216,6.3325260000000005,103.70053
169,mof_unit_pretest_170,3901.6980320000002,2496.47388,1606.98,0.30472,0.2868,Cl,2,40,40,fof,32.63049637,6.678075,121.34692
170,mof_unit_pretest_171,2238.476213,1286.21452,1315.13,0.20177,0.2115,NHMe-OH,2,17,24,pcu,33.79252262,6.370807,142.95569
171,mof_unit_pretest_172,6295.00468,2497.6515600000002,3573.96,0.37576,0.5703,OH-OMe,4,7,27,acs,14.48579991,5.984911,90.16442
172,mof_unit_pretest_173,6507.569306,3968.4134719999997,1032.37,0.19012,0.1877,Et-H,10,43,43,etb,20.35760586,5.662479,107.11737
173,mof_unit_pretest_174,1217.118496,759.74904,0.0,0.11715,0.113,Pr-OH,2,4,19,pcu,23.93358258,6.745928,129.08638
174,mof_unit_pretest_175,5050.478542,2824.0108800000007,1106.59,0.21035,0.2265,OMe,12,24,24,bcu,24.12071258,6.882797999999998,143.30328
175,mof_unit_pretest_176,1683.937675,907.2376929999999,2219.59,0.28039000000000003,0.3134,F-NH2,3,5,28,pcu,16.21914154,5.353354,80.65521
176,mof_unit_pretest_177,1553.819902,1326.0009699999996,1062.57,0.2492,0.1759,Br-I,2,4,17,pcu,21.27608561,5.601234,87.29608
177,mof_unit_pretest_178,1064.18815,751.30196,0.0,0.16648,0.142,Cl-H,2,24,24,pcu,14.83235851,5.650265,94.41851
178,mof_unit_pretest_179,2076.9797320000002,1330.45852,1220.79,0.2185,0.2054,Br-Pr,12,1,10,bcu,27.03295143,5.803743,76.36125
179,mof_unit_pretest_180,1337.750619,787.562083,1655.61,0.25835,0.2643,COOH-F,2,4,13,pcu,16.85115822,5.278165,91.68384
180,mof_unit_pretest_181,4360.336129,2216.61216,2035.07,0.28791,0.3411,NH2-OPr,1,1,9,pcu,12.50898963,5.8692730000000015,93.236664
